B25109",.,"MEDIAN VALUE BY YEAR HOUSEHOLDER MOVED INTO UNIT",,,,
"B25109",.,"Universe:  Owner-occupied housing units",,,,
"B25109",0.700,"Median value --",,,,
"B25109",1.000,"Total:","326,500","+/-3,370","323,130","329,870"
"B25109",2.000,"Moved in 2005 or later","362,400","+/-8,350","354,050","370,750"
"B25109",3.000,"Moved in 2000 to 2004","356,500","+/-6,000","350,500","362,500"
"B25109",4.000,"Moved in 1990 to 1999","327,700","+/-6,815","320,885","334,515"
"B25109",5.000,"Moved in 1980 to 1989","296,500
