00,"With earnings:","2,677","+/-995","1,682","3,672"
"C20005B",15.000,"$1 to $9,999 or loss","1,490","+/-895","595","2,385"
"C20005B",16.000,"$10,000 to $19,999","215","+/-185","30","400"
"C20005B",17.000,"$20,000 to $29,999","54","+/-91","0","145"
"C20005B",18.000,"$30,000 to $49,999","827","+/-594","233","1,421"
"C20005B",19.000,"$50,000 to $74,999","0","+/-292","0","292"
"C20005B",20.000,"$75,000 or more","91","+/-138","0","229"
"C20005B",21.000,"Female:","9,591","+/-1,462","8,129","11,053"
"C20005B",22.
