d at home","   79,908","   3.6%","        83,145","   3.7%","   0.1%","+/-0.7%","no"
"        3","      27","Mean travel time to work (minutes)","     23.6","(NA)","          23.2","(NA)","          -0.4","+/-1.3","no"
"        3","      28"," "," "," "," "," "," "," "," "
"        3","      28","     Employed civilian population 16 years and over","2,239,345","   100%","     2,318,589","   100%","        79,244","+/-43,355","yes"
"        3","      29","OCCUPATION"," "," "," "," "," "," "," "
"       
