30"
.70 to 74 years,"53,563","54,469","55,367","56,728","57,585","57,815","57,814"
.75 to 79 years,"50,660","51,664","52,052","52,529","53,459","53,640","53,637"
.80 to 84 years,"42,040","42,064","42,818","42,708","42,865","42,888","42,890"
.85 years or more,"50,913","50,080","49,118","48,955","47,601","47,145","47,145"
,,,,,,,
.Under 18 years,"331,555","336,809","342,529","346,219","355,194","356,940","356,928"
.Under 5 years,"88,317","88,539","89,050","89,340","91,256","91,693","91,690"
.5 to 13 y
