%","0.8",
"DP04",20.0,"Built 1980 to 1989","23.9%","1.0","20.1%","0.7","*"
"DP04",21.0,"Built 1970 to 1979","19.8%","0.9","20.8%","0.9",
"DP04",22.0,"Built 1960 to 1969","14.5%","0.7","16.5%","0.8","*"
"DP04",23.0,"Built 1950 to 1959","8.0%","0.6","8.8%","0.5",
"DP04",24.0,"Built 1940 to 1949","2.3%","0.3","2.7%","0.3",
"DP04",25.0,"Built 1939 or earlier","2.1%","0.2","2.8%","0.3","*"
"DP04",25.3,,,,,,
"DP04",25.5,"ROOMS",,,,,
"DP04",26.0,"Total housing units","276,052","2,636","283,322","1,643","*"
"DP04",
