"109,981","108,042","107,361","107,360"
.50 to 54 years,"104,616","101,504","98,917","97,571","91,546","90,249","90,248"
.55 to 59 years,"83,961","79,322","75,723","70,134","68,605","68,307","68,307"
.60 to 64 years,"63,711","61,796","59,158","57,951","57,040","56,829","56,829"
.65 to 69 years,"51,189","50,173","49,662","49,428","49,483","49,644","49,643"
.70 to 74 years,"40,525","42,137","43,488","45,069","46,466","46,749","46,748"
.75 to 79 years,"38,657","38,727","38,489","38,424","38,030","37,868"
