arming, fishing, and forestry occupations","8,699","+/-1,644","7,055","10,343"
"C24060",25.000,"Construction extraction, maintenance, and repair occupations:","222,752","+/-7,866","214,886","230,618"
"C24060",26.000,"Construction and extraction occupations","142,520","+/-6,812","135,708","149,332"
"C24060",27.000,"Installation, maintenance, and repair occupations","80,232","+/-4,580","75,652","84,812"
"C24060",28.000,"Production, transportation, and material moving occupations:","206,022","+/-6,923","199,09
