indian/1997/q2/,inq21997.tgz,991172.nc,19970607,-26.6767,42.4900,0.700000,836.100,6.67000,23.5900,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,991173.nc,19970608,-24.3500,48.9167,0.700000,836.100,7.72000,25.5400,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,991174.nc,19970608,-22.7167,51.7833,0.700000,836.100,7.80000,24.9900,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,991175.nc,19970609,-21.8000,53.3000,0.700000,836.100,6.79000,24.7900,,
woce-uot,./data/basins/sc/indian/1
