000 to $49,999","483","+/-275","208","758"
"C19131",67.000,"$50,000 to $74,999","292","+/-222","70","514"
"C19131",68.000,"$75,000 to $99,999","316","+/-258","58","574"
"C19131",69.000,"$100,000 to $149,999","214","+/-167","47","381"
"C19131",70.000,"$150,000 to $199,999","129","+/-106","23","235"
"C19131",71.000,"$200,000 or more","0","+/-292","0","292"
"C19201",.,"NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS)",,,,
"C19201",.,"Universe:  Nonfamily households",,,,
"C1
