ing and hunting, and mining","5,624","+/-1,735","31.8","+/-9.3","3.5","+/-4.5","10.5","+/-7.7","37.6","+/-12.0","9.1","+/-7.0"
"S2405",3.0,"Construction","26,362","+/-3,016","14.0","+/-3.4","1.2","+/-1.6","5.3","+/-2.0","0.0","+/-0.6","72.2","+/-5.1"
"S2405",4.0,"Manufacturing","77,755","+/-5,062","14.6","+/-2.0","2.7","+/-1.1","8.6","+/-1.7","0.2","+/-0.2","4.6","+/-1.3"
"S2405",5.0,"Wholesale trade","12,952","+/-1,816","11.0","+/-4.1","0.4","+/-0.7","54.9","+/-7.0","0.0","+/-1.3","3.4","+/-2.5"
"S2405",6.
