1"," 82","        96,625","        88,408","       104,842"
"50000US3911","1"," 83","        30,116","        26,225","        34,007"
"50000US3911","1"," 84","        84,051","        77,957","        90,145"
"50000US3911","1"," 85","        65,913","        62,120","        69,706"
"50000US3911","1"," 86","          2.25","          2.19","          2.31"
"50000US3911","1"," 87","          3.01","          2.91","          3.11"
"50000US3911","1"," 88","       288,350","       280,073","       296,6
