,"Retail trade","531","+/-378","153","909"
"C08126",77.000,"Transportation and warehousing, and utilities","171","+/-189","0","360"
"C08126",78.000,"Information and finance and insurance, and real estate and rental and leasing","673","+/-348","325","1,021"
"C08126",79.000,"Professional, scientific, and management, and administrative and waste management services","885","+/-558","327","1,443"
"C08126",80.000,"Educational services, and health care and social assistance","1,454","+/-584","870","2,038"
"C08126"
