.38,WIND GUSTS TO 60 MPH (PIH)
0259,65,BERN,BEAR LAKE,ID,42.33,-111.38,WIND GUSTS MEASURED TO 65 MPH (PIH)
0303,UNK,S LEONARD,SHELBY,MO,39.9,-92.18,ALONG HWY H,SINGLE TREE DOWN BLOCKING ROADWAY. EQUIPMENT IS REQUIRED TO REMOVE TREE. (LSX)
0310,UNK,LA BELLE,LEWIS,MO,40.12,-91.91,LARGE TREE LIMBS DOWN (LSX)
0315,UNK,SHELBINA,SHELBY,MO,39.69,-92.04,TREE LIMBS DOWN,6 TO 8 INCH DIAMETER. (LSX)
0320,60,MOBERLY,RANDOLPH,MO,39.42,-92.44,(EAX)
0320,UNK,KAHOKA,CLARK,MO,40.42,-91.72,TREE AND POWER LINES DOWN IN KAHOKA
