,14.000,"Some college, no degree","N","N","N","N"
"B15002C",15.000,"Associate's degree","N","N","N","N"
"B15002C",16.000,"Bachelor's degree","N","N","N","N"
"B15002C",17.000,"Graduate degree","N","N","N","N"
"B15002D",.,"SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (ASIAN ALONE)",,,,
"B15002D",.,"Universe:  Asian alone population 25 years and over",,,,
"B15002D",1.000,"Total:","18,211","+/-2,198","16,013","20,409"
"B15002D",2.000,"Male:","7,508","+/-1,097","6,411","8,605"
"B15002D",3.0
