.6"
"DP04",29.0,"3 rooms","21,198","+/-2,408","6.7","+/-0.8"
"DP04",30.0,"4 rooms","64,731","+/-3,789","20.4","+/-1.2"
"DP04",31.0,"5 rooms","73,816","+/-4,144","23.3","+/-1.3"
"DP04",32.0,"6 rooms","65,461","+/-2,808","20.6","+/-0.9"
"DP04",33.0,"7 rooms","38,356","+/-2,852","12.1","+/-0.9"
"DP04",34.0,"8 rooms","20,501","+/-1,829","6.5","+/-0.6"
"DP04",35.0,"9 rooms or more","15,226","+/-1,635","4.8","+/-0.5"
"DP04",36.0,"Median (rooms)","5.2","+/-0.2","(X)","(X)"
"DP04",36.3,,,,,
"DP04",36.5,"BEDROOMS",,
