,000 to $64,999","5,141","+/-1,015","4,126","6,156"
"B20005A",70.000,"$65,000 to $74,999","4,829","+/-965","3,864","5,794"
"B20005A",71.000,"$75,000 to $99,999","6,185","+/-1,022","5,163","7,207"
"B20005A",72.000,"$100,000 or more","10,906","+/-1,628","9,278","12,534"
"B20005A",73.000,"Other:","121,703","+/-3,180","118,523","124,883"
"B20005A",74.000,"No earnings","68,235","+/-3,057","65,178","71,292"
"B20005A",75.000,"With earnings:","53,468","+/-3,177","50,291","56,645"
"B20005A",76.000,"$1 to $2,499 or l
