,129.0,"$1,000 to $1,499","0.1%","0.1","0.1%","0.2",
"DP04",130.0,"$1,500 or more","0.0%","1.2","0.0%","1.1",
"DP04",131.0,"No cash rent","2,902","532","1,598","329","*"
"DP04",132.0,"Median (dollars)","470","**","448","**",
"DP04",132.3,,,,,,
"DP04",132.5,"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME",,,,,
"DP04",133.0,"Renter-occupied units","8,463","914","9,011","779",
"DP04",134.0,"Less than 15.0 percent","8.2%","3.0","7.4%","2.4",
"DP04",135.0,"15.0 to 19.9 percent","7.3%","1.9","7.2%","2.8",
"DP04",
