rmation and finance and insurance, and real estate and rental and leasing","5,359","+/-1,009","4,350","6,368"
"C08126",51.000,"Professional, scientific, and management, and administrative and waste management services","14,035","+/-2,381","11,654","16,416"
"C08126",52.000,"Educational services, and health care and social assistance","6,697","+/-1,159","5,538","7,856"
"C08126",53.000,"Arts, entertainment, and recreation, and accommodation and food services","4,835","+/-1,510","3,325","6,345"
"C08126",54.000,
