7,499","8,330","+/-1,477","6,853","9,807"
"B20001",31.000,"$17,500 to $19,999","4,757","+/-908","3,849","5,665"
"B20001",32.000,"$20,000 to $22,499","9,118","+/-1,779","7,339","10,897"
"B20001",33.000,"$22,500 to $24,999","4,259","+/-936","3,323","5,195"
"B20001",34.000,"$25,000 to $29,999","8,544","+/-1,548","6,996","10,092"
"B20001",35.000,"$30,000 to $34,999","8,931","+/-1,219","7,712","10,150"
"B20001",36.000,"$35,000 to $39,999","5,519","+/-1,073","4,446","6,592"
"B20001",37.000,"$40,000 to $44,999","5
