0,"Manufacturing","N","N","N","N"
"B24050",142.000,"Wholesale trade","N","N","N","N"
"B24050",143.000,"Retail trade","N","N","N","N"
"B24050",144.000,"Transportation and warehousing, and utilities:","N","N","N","N"
"B24050",145.000,"Transportation and warehousing","N","N","N","N"
"B24050",146.000,"Utilities","N","N","N","N"
"B24050",147.000,"Information","N","N","N","N"
"B24050",148.000,"Finance and insurance, and real estate and rental and leasing:","N","N","N","N"
"B24050",149.000,"Finance and insurance",
