 18 years","102,293","+/-6,118","96,175","108,411"
"B19125",3.000,"No own children under 18 years","93,396","+/-4,285","89,111","97,681"
"B19126",.,"MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS",,,,
"B19126",.,"Universe:  Families",,,,
"B19126",0.700,"Median family income in the past 12 months (in 2007 inflation-adjusted dollars) --",,,,
"B19126",1.000,"Total:","97,137","+/-3,745","93,392","100,882"
"B19126",1.700,"
