00,"Professional, scientific, and management, and administrative and waste management services","4,643","+/-1,126","3,517","5,769"
"B08126",101.000,"Educational services, and health care and social assistance","1,387","+/-522","865","1,909"
"B08126",102.000,"Arts, entertainment, and recreation, and accommodation and food services","749","+/-503","246","1,252"
"B08126",103.000,"Other services (except public administration)","319","+/-308","11","627"
"B08126",104.000,"Public administration","70","+/-117","0",
