ative",173,"Other means","2.9","+/-0.5","2.7","+/-0.6"
"600","Native",174,"Worked at home","4.7","+/-0.5","4.4","+/-0.5"
"600","Native",175,"Mean travel time to work (minutes)","24.0","+/-0.5","24.0","+/-0.5"
"600","Native",176,"Civilian employed population 16 years and over","422,792","+/-6,218","355,967","+/-5,953"
"600","Native",177,"Management, professional, and related occupations","35.1","+/-1.3","37.0","+/-1.5"
"600","Native",178,"Service occupations","19.5","+/-1.1","17.6","+/-1.2"
"600","Native",17
