25,000 to $34,999","9,961","+/-1,517","8,444","11,478"
"C19201",6.000,"$35,000 to $49,999","8,312","+/-1,410","6,902","9,722"
"C19201",7.000,"$50,000 to $74,999","4,990","+/-1,083","3,907","6,073"
"C19201",8.000,"$75,000 to $99,999","2,482","+/-934","1,548","3,416"
"C19201",9.000,"$100,000 to $149,999","1,290","+/-554","736","1,844"
"C19201",10.000,"$150,000 to $199,999","320","+/-270","50","590"
"C19201",11.000,"$200,000 or more","199","+/-190","9","389"
"C20005",.,"SEX BY WORK EXPERIENCE IN THE PAST 12 MO
