0051A",7.000,"60 years and over","17,694","+/-2,864","14,830","20,558"
"B10051B",.,"GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (BLACK OR AFRICAN AMERICAN ALONE)",,,,
"B10051B",.,"Universe:  Grandparents (Black or African American alone) living with own grandchildren under 18 years",,,,
"B10051B",1.000,"Total:","21,099","+/-2,538","18,561","23,637"
"B10051B",2.000,"Grandparent responsible for own grandchildren under 18 years:","9,3
