5","69,505"
"C04005",.,"PEOPLE REPORTING MULTIPLE ANCESTRY",,,,
"C04005",.,"Universe:  People reporting multiple ancestries",,,,
"C04005",1.000,"Total:","116,546","+/-6,268","110,278","122,814"
"C04005",2.000,"American","0","+/-265","0","265"
"C04005",3.000,"Arab","333","+/-208","125","541"
"C04005",4.000,"British","527","+/-447","80","974"
"C04005",5.000,"Czech","421","+/-455","0","876"
"C04005",6.000,"Danish","50","+/-83","0","133"
"C04005",7.000,"Dutch","11,851","+/-2,361","9,490","14,212"
"C04005",8.000
