keeping, accounting, and auditing clerks","2,360","+/-770","1,590","3,130"
"B24020",84.000,"Bookkeeping, accounting, and auditing clerks","2,319","+/-702","1,617","3,021"
"B24020",85.000,"Information and record clerks except customer service representatives","3,729","+/-1,210","2,519","4,939"
"B24020",86.000,"Customer service representatives","4,735","+/-925","3,810","5,660"
"B24020",87.000,"Material recording, scheduling, dispatching, and distributing workers","18,478","+/-2,308","16,170","20,786"
"B24020"
