,2.000,"Under 18 years:","156,016","+/-484","155,532","156,500"
"C17024",3.000,"Under 0.50","2,853","+/-1,201","1,652","4,054"
"C17024",4.000,"0.50 to 0.99","7,996","+/-2,890","5,106","10,886"
"C17024",5.000,"1.00 to 1.24","5,621","+/-2,327","3,294","7,948"
"C17024",6.000,"1.25 to 1.99","18,064","+/-3,700","14,364","21,764"
"C17024",7.000,"2.00 to 2.99","21,117","+/-2,894","18,223","24,011"
"C17024",8.000,"3.00 to 3.99","16,530","+/-3,376","13,154","19,906"
"C17024",9.000,"4.00 to 4.99","14,658","+/-2,881",
