04H",.,"Universe:  White alone, not Hispanic or Latino population 1 year and over in the United States",,,,
"B07404H",1.0000,"Total living in area 1 year ago:","88,179","+/-2,007","86,172","90,186"
"B07404H",2.0000,"Same house","77,900","+/-1,844","76,056","79,744"
"B07404H",3.0000,"Moved within same county","5,910","+/-1,481","4,429","7,391"
"B07404H",4.0000,"Moved to different county within same state","2,688","+/-876","1,812","3,564"
"B07404H",5.0000,"Moved to different state","1,681","+/-854","827","2,5
