398999 ,VEGETABLES UNSPECIFIED ,991 ,Sum of Others ,668 ,3.95 ,2640 ,7041.06 ,TONS ,18588400
2007 ,398999 ,VEGETABLES UNSPECIFIED , 999, State Totals,75292 ,7.55 ,193382 ,720.67 ,    ,451522500
2007 ,265999 ,WALNUTS BLACK ,991 ,Sum of Others ,124 ,16.73 ,2075 ,171.23 ,TONS ,355300
2007 ,265999 ,WALNUTS BLACK , 999, State Totals,124 ,16.73 ,2075 ,171.23 ,    ,355300
2007 ,263999 ,WALNUTS ENGLISH ,5 ,Amador ,348 ,0.41 ,143 ,1437.76 ,TONS ,205600
2007 ,263999 ,WALNUTS ENGLISH ,7 ,Butte ,29420 ,1.70 ,50014
