to $9,999","429","+/-252","177","681"
"B20005A",57.000,"$10,000 to $12,499","3,507","+/-1,073","2,434","4,580"
"B20005A",58.000,"$12,500 to $14,999","2,489","+/-971","1,518","3,460"
"B20005A",59.000,"$15,000 to $17,499","3,968","+/-1,226","2,742","5,194"
"B20005A",60.000,"$17,500 to $19,999","3,236","+/-999","2,237","4,235"
"B20005A",61.000,"$20,000 to $22,499","6,759","+/-1,649","5,110","8,408"
"B20005A",62.000,"$22,500 to $24,999","3,520","+/-906","2,614","4,426"
"B20005A",63.000,"$25,000 to $29,999","9,9
