     2,780","         1,504","         4,056"
"50000US1198","2"," 96","       528,759","         *****","         *****"
"50000US1198","2"," 97","         3,382","         2,049","         4,715"
"50000US1198","2"," 98","         1,527","           957","         2,097"
"50000US1198","2"," 99","           710","           266","         1,154"
"50000US1198","2","100","         3,109","         2,139","         4,079"
"50000US1198","2","101","        25,185","        22,494","        27,876"
"50000US1
