3"," "," "," "," "," "," "," "," "
"        4","      53","OCCUPANTS PER ROOM"," "," "," "," "," "," "," "
"        4","      53","1.00 or less","       526,365","  99.1%","       530,196","  99.0%","- 0.1%","+/-0.7%","no"
"        4","      54","1.01 to 1.50","         4,010","   0.8%","         4,152","   0.8%","   0.0%","+/-0.5%","no"
"        4","      55","1.51 or more","           959","   0.2%","         1,446","   0.3%","   0.1%","+/-0.2%","no"
"        4","      56"," "," "," "," "," "," "," "
