"
"C23008",.,"AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS",,,,
"C23008",.,"Universe:  Own children under 18 years in families and subfamilies",,,,
"C23008",1.000,"Total:","112,859","+/-2,375","110,484","115,234"
"C23008",2.000,"Under 6 years:","38,839","+/-1,479","37,360","40,318"
"C23008",3.000,"Living with two parents:","25,929","+/-2,145","23,784","28,074"
"C23008",4.000,"Both parents in labor force","11,378","+/-2,003","9,375","13
