",45.000,"$55,000 to $64,999","10,017","+/-1,602","8,415","11,619"
"B20005A",46.000,"$65,000 to $74,999","7,844","+/-1,347","6,497","9,191"
"B20005A",47.000,"$75,000 to $99,999","14,207","+/-1,808","12,399","16,015"
"B20005A",48.000,"$100,000 or more","18,497","+/-1,732","16,765","20,229"
"B20005A",49.000,"Female:","1,333,552","+/-5,737","1,327,815","1,339,289"
"B20005A",50.000,"Worked full-time, year-round in the past 12 months:","474,349","+/-7,511","466,838","481,860"
"B20005A",51.000,"No earnings","66",
