Unmarried (never married, widowed and divorced):","79,122","+/-3,329","75,793","82,451"
"B13014",23.000,"Less than high school graduate","18,520","+/-1,690","16,830","20,210"
"B13014",24.000,"High school graduate (includes equivalency)","14,373","+/-1,891","12,482","16,264"
"B13014",25.000,"Some college or associate's degree","24,201","+/-2,299","21,902","26,500"
"B13014",26.000,"Bachelor's degree","16,285","+/-2,094","14,191","18,379"
"B13014",27.000,"Graduate or professional degree","5,743","+/-1,273","4,
