","+/-0.5","5.0","+/-0.5","6.6","+/-2.2",,,,
"S2301",8.3,,,,,,,,,,,,,
"S2301",8.5,"RACE AND HISPANIC OR LATINO ORIGIN",,,,,,,,,,,,
"S2301",9.0,"One race","N","N","N","N","N","N","N","N",,,,
"S2301",10.0,"White","3,018,071","+/-19,127","61.9","+/-0.4","58.7","+/-0.4","5.0","+/-0.3",,,,
"S2301",11.0,"Black or African American","1,598,462","+/-7,780","62.0","+/-0.6","55.8","+/-0.6","10.1","+/-0.6",,,,
"S2301",12.0,"American Indian and Alaska Native","20,714","+/-2,373","62.2","+/-6.6","54.4","+/-6.2","12.6","+
