k a language other than English)","2.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)",,,,
"S1701",0.0,,,,,,,,,,,,,
"S1701",0.5,,"Total","Margin of Error","Below poverty level","Margin of Error","Percent below poverty level","Margin of Error",,,,,,
"S1701",1.0,"Population for whom poverty status is determined","200,529","+/-12,006","9,740","+/-2,774","4.9","+/-1.3",,,,,,
"S1701",1.5,"AGE",,,,,,,,,,,,
"S1701",2.0,"Under 18 years","43,811","+/-4,497","2,479","+/-1,365","5.7","+/-3.0",,,,,,
"S1701",3.0,"Related chi
