 more other races",61,"Widowed","7.8","+/-0.5","8.0","+/-0.5"
"003","White alone or in combination with one or more other races",62,"Divorced","14.2","+/-0.9","14.5","+/-1.0"
"003","White alone or in combination with one or more other races",63,"Separated","2.4","+/-0.4","2.3","+/-0.4"
"003","White alone or in combination with one or more other races",64,"Never married","22.9","+/-1.0","21.6","+/-1.0"
"003","White alone or in combination with one or more other races",65,"Male 15 years and over","265,821","+
