5122",56.000,"$100 to $199","70","+/-111","0","181"
"B25122",57.000,"$200 to $299","0","+/-292","0","292"
"B25122",58.000,"$300 to $399","0","+/-292","0","292"
"B25122",59.000,"$400 to $499","0","+/-292","0","292"
"B25122",60.000,"$500 to $599","70","+/-109","0","179"
"B25122",61.000,"$600 to $699","156","+/-261","0","417"
"B25122",62.000,"$700 to $799","180","+/-170","10","350"
"B25122",63.000,"$800 to $899","838","+/-520","318","1,358"
"B25122",64.000,"$900 to $999","1,047","+/-512","535","1,559"
"B25122"
