P02",91.3,,,,,
"DP02",91.5,"U.S. CITIZENSHIP STATUS",,,,
"DP02",92.0,"Foreign-born population","12,326","+/-2,512","100","(X)"
"DP02",93.0,"Naturalized U.S. citizen","4,075","+/-942","33.1","+/-9.2"
"DP02",94.0,"Not a U.S. citizen","8,251","+/-2,471","66.9","+/-9.2"
"DP02",94.3,,,,,
"DP02",94.5,"YEAR OF ENTRY",,,,
"DP02",95.0,"Population born outside the United States","14,610","+/-2,659","100","(X)"
"DP02",95.3,,,,,
"DP02",96.0,"Native","2,284","+/-724","100","(X)"
"DP02",97.0,"Entered 2000 or later","233"
