,999","2,550","+/-840","1,710","3,390"
"B25118",23.000,"$75,000 to $99,999","1,493","+/-676","817","2,169"
"B25118",24.000,"$100,000 to $149,999","603","+/-424","179","1,027"
"B25118",25.000,"$150,000 or more","141","+/-176","0","317"
"B25119",.,"MEDIAN HOUSEHOLD INCOME THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY TENURE",,,,
"B25119",.,"Universe:  Occupied housing units",,,,
"B25119",0.700,"Median household income in the past 12 months (in 2007 inflation-adjusted dollars) --",,,,
"B25119",1.0
