 0,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "46",          -100,            90,            73,           152,            79,            21,            42,            46,
  "47",          -158,            -7,            -7,             0,             0,             0,            -1,             0,
  "48",            60,            94,            68,           158,            50,            29,            42,        
