unty,Washington,"77,983","76,512","75,050","74,698","74,698"
.Coulee City town,Washington,615,607,601,600,600
.Coulee Dam town (pt.),Washington,4,4,4,4,4
.Electric City town,Washington,980,964,944,939,922
.Ephrata city,Washington,"7,028","6,927","6,831","6,808","6,808"
.George city,Washington,553,542,531,528,528
.Grand Coulee city,Washington,916,907,899,897,897
.Hartline town,Washington,137,135,134,134,134
.Krupp town,Washington,61,61,60,60,60
.Mattawa town,Washington,"2,726","2,675","2,622","2,609","2,609"
