o $89,999","N","N","N","N"
"B25121",42.000,"Value $90,000 to $99,999","N","N","N","N"
"B25121",43.000,"Value $100,000 to $199,999","N","N","N","N"
"B25121",44.000,"Value $200,000 to $249,999","N","N","N","N"
"B25121",45.000,"Value $250,000 to $499,999","N","N","N","N"
"B25121",46.000,"Value $500,000 or more","N","N","N","N"
"B25121",47.000,"$35,000 to $49,999:","N","N","N","N"
"B25121",48.000,"Value less than $10,000","N","N","N","N"
"B25121",49.000,"Value $10,000 to $19,999","N","N","N","N"
"B25121",50.000
