, and forestry occupations","0","+/-283","0","283"
"C24010G",14.000,"Construction, extraction, maintenance, and repair occupations","149","+/-178","0","327"
"C24010G",15.000,"Production, transportation, and material moving occupations","390","+/-352","38","742"
"C24010H",.,"SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",,,,
"C24010H",.,"Universe:  Civilian employed White alone, not Hispanic or Latino population 16 years and over",,,,
"C24010H"
