000 to $49,999","2,957","+/-948","2,009","3,905"
"B19001I",11.000,"$50,000 to $59,999","8,080","+/-1,848","6,232","9,928"
"B19001I",12.000,"$60,000 to $74,999","11,347","+/-1,835","9,512","13,182"
"B19001I",13.000,"$75,000 to $99,999","14,063","+/-2,035","12,028","16,098"
"B19001I",14.000,"$100,000 to $124,999","7,903","+/-1,391","6,512","9,294"
"B19001I",15.000,"$125,000 to $149,999","5,253","+/-1,113","4,140","6,366"
"B19001I",16.000,"$150,000 to $199,999","4,683","+/-992","3,691","5,675"
"B19001I",17.000
