.000,"Under 5 years","4,211","+/-1,280","2,931","5,491"
"B17001I",19.000,"5 years","918","+/-578","340","1,496"
"B17001I",20.000,"6 to 11 years","2,087","+/-673","1,414","2,760"
"B17001I",21.000,"12 to 14 years","1,101","+/-681","420","1,782"
"B17001I",22.000,"15 years","149","+/-151","0","300"
"B17001I",23.000,"16 and 17 years","1,087","+/-591","496","1,678"
"B17001I",24.000,"18 to 24 years","2,471","+/-752","1,719","3,223"
"B17001I",25.000,"25 to 34 years","4,373","+/-1,075","3,298","5,448"
"B17001I",26.0
