4",7.0,"1-unit, detached","61.1%","2.2","69.6%","2.4","*"
"DP04",8.0,"1-unit, attached","1.7%","0.6","0.4%","0.2","*"
"DP04",9.0,"2 units","1.8%","0.6","1.5%","0.7",
"DP04",10.0,"3 or 4 units","1.8%","0.6","2.0%","0.8",
"DP04",11.0,"5 to 9 units","2.2%","0.9","0.8%","0.7",
"DP04",12.0,"10 to 19 units","0.2%","0.1","0.3%","0.2",
"DP04",13.0,"20 or more units","1.1%","0.4","0.5%","0.3",
"DP04",14.0,"Mobile home","29.9%","2.1","24.8%","2.4",
"DP04",15.0,"Boat, RV, van, etc.","0.2%","0.2","0.0%","0.2",
"DP04",1
