",4.000,"$15,000 to $24,999","7,650","+/-1,487","6,163","9,137"
"C19201",5.000,"$25,000 to $34,999","8,452","+/-1,579","6,873","10,031"
"C19201",6.000,"$35,000 to $49,999","9,491","+/-1,766","7,725","11,257"
"C19201",7.000,"$50,000 to $74,999","15,926","+/-2,112","13,814","18,038"
"C19201",8.000,"$75,000 to $99,999","10,219","+/-1,661","8,558","11,880"
"C19201",9.000,"$100,000 to $149,999","10,525","+/-1,647","8,878","12,172"
"C19201",10.000,"$150,000 to $199,999","3,175","+/-913","2,262","4,088"
"C19201",1
