sh (050, 081)",184,"Management, professional, and related occupations","32.1","+/-1.6","35.8","+/-4.9"
"541","Irish (050, 081)",185,"Service occupations","17.9","+/-1.7","17.0","+/-3.9"
"541","Irish (050, 081)",186,"Sales and office occupations","17.1","+/-1.2","21.3","+/-4.0"
"541","Irish (050, 081)",187,"Farming, fishing, and forestry occupations","0.4","+/-0.2","0.0","+/-0.8"
"541","Irish (050, 081)",188,"Construction, extraction, maintenance, and repair occupations","19.5","+/-1.4","15.0","+/-4.3"
"541"
