r Latino origin (of any race)","N","N","N","N","N","N","N","N",,,,
"S1002",11.0,"White alone, not Hispanic or Latino","46.4","+/-6.2","46.5","+/-8.2","41.3","+/-9.6","61.1","+/-12.9",,,,
"S1002",11.3,,,,,,,,,,,,,
"S1002",11.5,"SEX",,,,,,,,,,,,
"S1002",12.0,"Male","29.1","+/-3.5","26.0","+/-4.3","23.0","+/-5.2","34.3","+/-10.5",,,,
"S1002",13.0,"Female","70.9","+/-3.5","74.0","+/-4.3","77.0","+/-5.2","65.7","+/-10.5",,,,
"S1002",13.3,,,,,,,,,,,,,
"S1002",13.5,"MARITAL STATUS",,,,,,,,,,,,
"S1002",14.0,"Now ma
