 well""","N","N","N","N"
"B16004",67.000,"Speak English ""not at all""","N","N","N","N"
"B16005",.,"NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER",,,,
"B16005",.,"Universe:  Population 5 years and over",,,,
"B16005",1.000,"Total:","101,848","+/-5,605","96,243","107,453"
"B16005",2.000,"Native:","73,574","+/-4,867","68,707","78,441"
"B16005",3.000,"Speak only English","62,533","+/-4,781","57,752","67,314"
"B16005",4.000,"Speak Spanish:","5,241","+/-1,771"
