tral America:",145,"Asia","18.5","+/-2.0","N","N"
"716","Central America:",146,"Africa","1.1","+/-0.7","N","N"
"716","Central America:",147,"Oceania","2.3","+/-1.0","N","N"
"716","Central America:",148,"Latin America","63.6","+/-2.7","N","N"
"716","Central America:",149,"Northern America","3.3","+/-0.9","N","N"
"716","Central America:",150,"Population 5 years and over","747,982","+/-7,164","65,086","+/-4,828"
"716","Central America:",151,"English only","80.8","+/-1.0","4.3","+/-1.8"
"716","Central America:"
