,161,138
..Living with nonrelatives,"2,017",34,81,474,575,168,457,181,18,29
.RELATIVE OF HOUSEHOLDER,,,,,,,,,,
..Spouse,"28,590",533,"1,535","10,254","4,882","2,876","5,758","2,252",260,238
..Other,"12,234",932,"4,312","2,638","2,659",492,967,181,36,18
.NONRELATIVE,,,,,,,,,,
..Nonrelative,"3,709",85,410,"1,154",930,263,643,183,14,28
15 to 17 years,,,,,,,,,,
.Total,"3,936",639,"3,228",42,24,1,3,-,-,-
.FAMILY HOUSEHOLDER,,,,,,,,,,
..Married spouse present,3,-,3,-,-,-,-,-,-,-
..Other family househol
