,"Other services (except public administration)","1,119","+/-721","398","1,840"
"B08126",44.000,"Public administration","920","+/-614","306","1,534"
"B08126",45.000,"Armed forces","0","+/-303","0","303"
"B08126",46.000,"Public transportation (excluding taxicab):","6,076","+/-1,778","4,298","7,854"
"B08126",47.000,"Agriculture, forestry, fishing and hunting, and mining","0","+/-303","0","303"
"B08126",48.000,"Construction","729","+/-604","125","1,333"
"B08126",49.000,"Manufacturing","299","+/-304","0","603"
