q2/,inq21997.tgz,946241.nc,19970610,-1.4167,108.370,0.00000,35.0000,29.5000,29.6000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,946242.nc,19970610,-1.8000,108.130,0.00000,45.0000,29.4000,29.4000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,946245.nc,19970610,-2.0667,107.830,0.00000,37.0000,29.3000,29.4000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,946246.nc,19970610,-2.1833,107.630,0.00000,30.0000,29.5000,29.6000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz
