ng, and utilities","5,100","+/-1,276","3,824","6,376"
"C24070",78.000,"Information","1,543","+/-530","1,013","2,073"
"C24070",79.000,"Finance and insurance, and real estate and rental and leasing","12,008","+/-1,547","10,461","13,555"
"C24070",80.000,"Professional, scientific, and management, and administrative and waste management services","28,538","+/-2,444","26,094","30,982"
"C24070",81.000,"Educational services, and  health care and social assistance","15,719","+/-2,370","13,349","18,089"
"C24070",82.0
