ime, year-round in the past 12 months (dollars)","33,475","+/-1,796","31,679","35,271"
"B19326",7.000,"Other (dollars)","11,919","+/-460","11,459","12,379"
"B20001",.,"SEX BY EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS",,,,
"B20001",.,"Universe:  Population 16 years and over with earnings",,,,
"B20001",1.000,"Total:","436,940","+/-10,826","426,114","447,766"
"B20001",2.000,"Male:","231,012","+/-7,442","223,570",
