0,"Total:","1,101,748","+/-19,670","1,082,078","1,121,418"
"B04005",2.000,"Afghan","729","+/-787","0","1,516"
"B04005",3.000,"Albanian","203","+/-226","0","429"
"B04005",4.000,"Alsatian","0","+/-283","0","283"
"B04005",5.000,"American","0","+/-283","0","283"
"B04005",6.000,"Arab:","8,742","+/-2,446","6,296","11,188"
"B04005",7.000,"Egyptian","162","+/-189","0","351"
"B04005",8.000,"Iraqi","55","+/-91","0","146"
"B04005",9.000,"Jordanian","75","+/-124","0","199"
"B04005",10.000,"Lebanese","4,332","+/-1,626",
