rvices, except public administration","8,523","+/-1,763","6,760","10,286"
"C24050",98.000,"Public administration","2,777","+/-815","1,962","3,592"
"C24060",.,"OCCUPATION BY CLASS OF WORKER FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,
"C24060",.,"Universe:  Civilian employed population 16 years and over",,,,
"C24060",1.000,"Total:","2,303,769","+/-13,158","2,290,611","2,316,927"
"C24060",2.000,"Management, professional, and related occupations:","992,413","+/-12,722","979,691","1,005,135"
"C24
