1,482","8.8","+/-0.9"
"DP04",35.0,"9 rooms or more","13,770","+/-1,590","8.5","+/-1.0"
"DP04",36.0,"Median (rooms)","5.5","+/-0.1","(X)","(X)"
"DP04",36.3,,,,,
"DP04",36.5,"BEDROOMS",,,,
"DP04",37.0,"Total housing units","161,738","+/-177","100","(X)"
"DP04",38.0,"No bedroom","888","+/-495","0.5","+/-0.3"
"DP04",39.0,"1 bedroom","12,707","+/-1,955","7.9","+/-1.2"
"DP04",40.0,"2 bedrooms","44,285","+/-2,507","27.4","+/-1.5"
"DP04",41.0,"3 bedrooms","74,203","+/-2,527","45.9","+/-1.6"
"DP04",42.0,"4 bedrooms"
