h one or more other races",200,"Wholesale trade","2.2","+/-0.5","2.2","+/-0.5"
"003","White alone or in combination with one or more other races",201,"Retail trade","14.0","+/-1.0","14.3","+/-1.0"
"003","White alone or in combination with one or more other races",202,"Transportation and warehousing, and utilities","5.2","+/-0.7","5.3","+/-0.7"
"003","White alone or in combination with one or more other races",203,"Information","2.1","+/-0.4","2.1","+/-0.4"
"003","White alone or in combination with one or mo
