Hispanic or Latino",146,"Africa","2.2","+/-1.1","1.2","+/-0.8"
"451","White alone, not Hispanic or Latino",147,"Oceania","0.3","+/-0.2","1.2","+/-0.9"
"451","White alone, not Hispanic or Latino",148,"Latin America","67.6","+/-2.5","3.1","+/-1.6"
"451","White alone, not Hispanic or Latino",149,"Northern America","3.5","+/-0.8","18.6","+/-4.5"
"451","White alone, not Hispanic or Latino",150,"Population 5 years and over","900,044","+/-5","530,404","+/-1,407"
"451","White alone, not Hispanic or Latino",151,"Eng
